"id","name","brand","address.addr1","address.city","address.region","address.country","latitude","longitude","check_in_date","check_in","check_out_date","check_out","event","nights","sale_price","taxes","average_rate","total_price","url"
"bd078a6c-bdb8-4aa8-a863-33f87f81a41c","Hilton Garden Inn Cleveland/Twinsburg","Hilton","8971 Wilcox Dr I480","Twinsburg","OH","US",41.31477,-81.45697,"2023-08-04","Fri, Aug 4","2023-08-06","Sun, Aug 6","Twins Days Festival",2,449,136,517,1034,"https://www.gohoken.com/hotels/bd078a6c-bdb8-4aa8-a863-33f87f81a41c/145096f6-4541-427c-9485-1a9a985449fb"
"c4f26e14-b602-4b0b-924f-289e40023ca5","DoubleTree by Hilton Hotel & Suites Pittsburgh Downtown","Hilton","One Bigelow Sq","Pittsburgh","PA","US",40.41997,-79.94272,"2023-08-07","Mon, Aug 7","2023-08-08","Tue, Aug 8","The Celebration Tour Madonna Pittsburgh ",1,359,50,409,409,"https://www.gohoken.com/hotels/c4f26e14-b602-4b0b-924f-289e40023ca5/43abf397-225b-4176-a5aa-d294d94ff2d7"
"44e92661-2a44-4a7c-8fce-ebdafd4ae674","Hampton Inn & Suites Cincinnati Liberty Township","Hilton","7320 Tylers Pl Blvd","West Chester Township","OH","US",39.36619,-84.367965,"2023-08-11","Fri, Aug 11","2023-08-13","Sun, Aug 13","Voice Of America Country Music Fest",2,236,59,265,531,"https://www.gohoken.com/hotels/44e92661-2a44-4a7c-8fce-ebdafd4ae674/0b172671-cf3f-467f-817b-348e59afda1c"
"12907230-80e1-4ad1-9a9c-bd8060313466","Embassy Suites by Hilton Seattle Downtown Pioneer Square","Hilton","255 S King St","Seattle","WA","US",47.59786,-122.33094,"2023-08-26","Sat, Aug 26","2023-08-27","Sun, Aug 27","Ed Sheeran + - = ÷ x Tour Seattle ",1,750,121,871,871,"https://www.gohoken.com/hotels/12907230-80e1-4ad1-9a9c-bd8060313466/eb316807-00c9-41dd-b088-635960f5bc37"
"b1561e79-ddec-49ba-aae0-76ffa975ea21","Homewood Suites by Hilton Seattle Downtown","Hilton","206 Western Ave W","Seattle","WA","US",47.620375,-122.359705,"2023-09-13","Wed, Sep 13","2023-09-14","Thu, Sep 14","Beyonce Renaissance World Tour Seattle",1,433,70,503,503,"https://www.gohoken.com/hotels/b1561e79-ddec-49ba-aae0-76ffa975ea21/b22fb76b-334d-4cf0-bef4-32344570984d"
"12907230-80e1-4ad1-9a9c-bd8060313466","Embassy Suites by Hilton Seattle Downtown Pioneer Square","Hilton","255 S King St","Seattle","WA","US",47.59786,-122.33094,"2023-09-20","Wed, Sep 20","2023-09-21","Thu, Sep 21","Coldplay Music of the Spheres World Tour Seattle",1,525,86,611,611,"https://www.gohoken.com/hotels/12907230-80e1-4ad1-9a9c-bd8060313466/4a1c3665-0878-44a5-a7bf-ab01bd16f64f"
"e756e501-b81e-4daf-b659-c3cbe5522f86","Homewood Suites by Hilton Athens Downtown University Area","Hilton","750 E Broad St","Athens","GA","US",33.958217,-83.370493,"2023-09-22","Fri, Sep 22","2023-09-24","Sun, Sep 24","Alpha Chi Omega Parents Weekend UGA",2,1019,315,1176,2353,"https://www.gohoken.com/hotels/e756e501-b81e-4daf-b659-c3cbe5522f86/00a089c0-9c0e-44fb-bcdd-e35bdfd9631f"
"20316ff1-b097-478a-80d9-7f6d2b7f5177","Hampton Inn & Suites Knoxville-Downtown","Hilton","618 W Main St","Knoxville","TN","US",35.96,-83.91991,"2023-10-16","Mon, Oct 16","2023-10-17","Tue, Oct 17","Shania Twain: Queen Of Me Tour Knoxville",1,217,37,254,254,"https://www.gohoken.com/hotels/20316ff1-b097-478a-80d9-7f6d2b7f5177/96216b94-ae4b-45c9-b347-892f8ed13d81"
"373a1f0f-8f22-4113-bd66-416a0f90c5c7","Hyatt Place Boston / Seaport District","Hyatt","295 Northern Ave","Boston","MA","US",42.34766,-71.03678,"2023-04-16","Sun, Apr 16","2023-04-18","Tue, Apr 18","The Boston Marathon",2,659,216,767,1534,"https://www.gohoken.com/hotels/373a1f0f-8f22-4113-bd66-416a0f90c5c7/18ba6a50-f0c3-46e7-8110-b8209b767be8"
"3fb3a290-2f83-435c-98ea-c21f9d33b6f3","Hyatt Regency Boston Harbor","Hyatt","101 Harborside Dr","Boston","MA","US",42.35921,-71.02719,"2023-04-16","Sun, Apr 16","2023-04-18","Tue, Apr 18","The Boston Marathon",2,796,311,951,1903,"https://www.gohoken.com/hotels/3fb3a290-2f83-435c-98ea-c21f9d33b6f3/18ba6a50-f0c3-46e7-8110-b8209b767be8"
"2860d09e-5137-47c5-ac16-5bcf33605043","Hyatt Regency Louisville","Hyatt","320 W Jefferson St","Louisville","KY","US",38.25362,-85.75656,"2023-04-20","Thu, Apr 20","2023-04-21","Fri, Apr 21","Morgan Wallen One Night At A Time World Tour Louisville",1,229,36,265,265,"https://www.gohoken.com/hotels/2860d09e-5137-47c5-ac16-5bcf33605043/1a67b294-f78e-41fa-9c79-87aabaed8e70"
"8e62cee3-d4c1-408a-b1fe-a8a0a413421f","Hyatt Regency Atlanta","Hyatt","265 Peachtree St NE","Atlanta","GA","US",33.76153,-84.38672,"2023-04-28","Fri, Apr 28","2023-04-29","Sat, Apr 29","The Eras Tour Taylor Swift Atlanta",1,309,57,366,366,"https://www.gohoken.com/hotels/8e62cee3-d4c1-408a-b1fe-a8a0a413421f/84b0649b-4bfc-4653-a3e5-609c4dd0a4df"
"8e62cee3-d4c1-408a-b1fe-a8a0a413421f","Hyatt Regency Atlanta","Hyatt","265 Peachtree St NE","Atlanta","GA","US",33.76153,-84.38672,"2023-04-30","Sun, Apr 30","2023-05-01","Mon, May 1","The Eras Tour Taylor Swift Atlanta",1,869,151,1020,1020,"https://www.gohoken.com/hotels/8e62cee3-d4c1-408a-b1fe-a8a0a413421f/84b0649b-4bfc-4653-a3e5-609c4dd0a4df"
